(1.6272386322584689,16.306475868450942)
(1.136307183968558,16.568339468047135)
(0.6084149082241257,16.815655121878518)
(0.04415708931779383,17.04344789530307)
(-0.5552133329760087,17.246813020465567)
(-1.1877991011642557,17.421002096656732)
(-1.8510832125424572,17.561506837051297)
(-2.541964307560092,17.664138904728706)
(-3.2568022670858015,17.725104448606487)
(-3.9914732340860377,17.74107204179867)
(-4.741433111331826,17.70923283935125)
(-5.501788439329985,17.627351907316104)
(-6.267373430297629,17.49380982835539)
(-7.0328318268968015,17.307633857858377)
(-7.792702170479601,17.068518085965966)
(-8.541505004223167,16.776832251783134)
(-9.273830502792636,16.43361905309625)
(-9.984425012642165,16.04057999467667)
(-10.668275005883467,15.600050017270867)
(-11.320686995488215,15.114961344191709)
(-11.93736202966851,14.588797169647375)
(-12.514463477377024,14.025535989321627)
(-13.048676933353974,13.429587536182103)
(-13.537261207991179,12.805721430222492)
(-13.97808952211145,12.158989777301734)
(-14.369680196878171,11.494645057233905)
(-14.71121631150003,10.81805472298069)
(-15.002553993007817,10.134613989781938)
(-15.244219199822277,9.449658324342085)
(-15.437393060672397,8.768377149223339)
(-15.583886029188287,8.095730256297454)
(-15.686101308726425,7.436368375842247)
(-15.746988188310901,6.7945592754645)
(-15.769986105754237,6.174120666740212)
(-15.758960415008573,5.578361078965152)
(-15.718130978795932,5.010029720761655)
(-15.651994832069692,4.471276193901597)
(-15.56524426470601,3.963620752300674)
(-15.462681751224668,3.4879356156944237)
(-15.34913320991401,3.044437655211606)
(-15.229361102535556,2.632692570258119)
(-15.107978888311273,2.2516304762549795)
(-14.989368322103521,1.8995726243093338)
(-14.87760103700312,1.5742687802905038)
(-14.776365776803553,1.272944605398824)
(-14.688902545363126,0.9923582063758543)
(-14.617944819351147,0.7288648640358375)
(-14.565670830436176,0.47848880657014614)
(-14.533664765043667,0.23700077156448213)
(-14.522888557135452,-4.133662992175395E-14)
(-14.53366476504369,-0.23700077156459648)
(-14.565670830436227,-0.4784888065702365)
(-14.617944819351221,-0.7288648640359391)
(-14.688902545363211,-0.9923582063759686)
(-14.776365776803654,-1.272944605398956)
(-14.877601037003235,-1.5742687802906847)
(-14.98936832210367,-1.899572624309519)
(-15.107978888311429,-2.251630476255193)
(-15.229361102535716,-2.6326925702583632)
(-15.34913320991416,-3.0444376552119112)
(-15.462681751224826,-3.4879356156947323)
(-15.56524426470613,-3.963620752301017)
(-15.651994832069809,-4.471276193901941)
(-15.71813097879605,-5.0100297207620645)
(-15.758960415008668,-5.578361078965557)
(-15.769986105754304,-6.174120666740679)
(-15.746988188310928,-6.794559275464946)
(-15.686101308726418,-7.4363683758427515)
(-15.58388602918824,-8.09573025629802)
(-15.43739306067232,-8.768377149223882)
(-15.244219199822146,-9.44965832434261)
(-15.002553993007663,-10.134613989782443)
(-14.711216311499815,-10.818054722981232)
(-14.369680196877935,-11.494645057234418)
(-13.978089522111148,-12.158989777302272)
(-13.537261207990861,-12.805721430222967)
(-13.048676933353589,-13.42958753618259)
(-12.51446347737656,-14.025535989322133)
(-11.937362029668042,-14.588797169647819)
(-11.320686995487735,-15.114961344192098)
(-10.668275005882982,-15.600050017271203)
(-9.98442501264162,-16.04057999467699)
(-9.273830502792096,-16.433619053096514)
(-8.541505004222568,-16.77683225178337)
(-7.79270217047905,-17.06851808596614)
(-7.032831826896201,-17.307633857858523)
(-6.267373430296985,-17.4938098283555)
(-5.501788439329416,-17.62735190731615)
(-4.741433111331226,-17.709232839351255)
(-3.9914732340855044,-17.74107204179864)
(-3.2568022670852446,-17.725104448606416)
(-2.541964307559585,-17.664138904728592)
(-1.8510832125419379,-17.56150683705114)
(-1.1877991011638094,-17.421002096656572)
(-0.5552133329755575,-17.246813020465375)
(0.04415708931824591,-17.04344789530284)
(0.6084149082244821,-16.815655121878283)
(1.1363071839689078,-16.568339468046872)
(1.6272386322587589,-16.306475868450704)
(2.0812735037619587,-16.035022270028993)
(2.499125980985191,-15.758833039214352)
(2.882139267875077,-15.482574436601919)
(3.232253744045787,-15.210643628674994)
(3.5519647456476866,-14.947092644414456)
(3.844270715220076,-14.695558598392036)
(4.112612630286816,-14.459201392742747)
(4.360805772047486,-14.24064998013087)
(4.592965028646781,-14.041958120733284)
(4.813425039865375,-13.864570400950914)
(5.026656579705241,-13.709299102904865)
(5.2371806386890505,-13.576312324876893)
(5.449481707616906,-13.465133557005613)
(5.667921778333363,-13.374652717149132)
(5.896656564511138,-13.303148452342876)
(6.139555406773226,-13.248321315184267)
(6.4001262623288975,-13.207337235172659)
(6.681447090799369,-13.176880525816856)
(6.986104836602602,-13.153215502306892)
(7.316143076081316,-13.132255634619694)
(7.673019246798582,-13.109639029696332)
(8.0575722097063,-13.08080892607209)
(8.470000715117996,-13.041097796978448)
(8.909853153708578,-12.985813594985245)
(9.376028777421315,-12.91032663380922)
(9.866790375601271,-12.810155591628765)
(10.379788192357779,-12.681051135315137)
(10.912094675561734,-12.519075706151991)
(11.46024945939435,-12.320678074154872)
(12.020313804274352,-12.08276135886247)
(12.587933553380234,-11.802743327875113)
(13.158409516731577,-11.478607918490498)
(13.726774064462292,-11.108947080203508)
(14.287872602764713,-10.692992203944865)
(14.836448520889647,-10.230634584809355)
(15.367230137021753,-9.72243455552806)
(15.87501813588198,-9.169619124751552)
(16.35477198212884,-8.57406815392084)
(16.801693811209844,-7.938289305626093)
(17.2113083429289,-7.265382191442171)
(17.57953743190502,-6.558992334878499)
(17.90276796209009,-5.823255742039932)
(18.177911907980143,-5.0627350357814604)
(18.402457521089026,-4.282348255713205)
(18.574510754284702,-3.4872915538383813)
(18.69282620605058,-2.6829571216503387)
(18.756827048670182,-1.8748477673553747)
(18.766613595589966,-1.068489620060591)
(18.722960360459766,-0.26934447028554)
(18.627301660160374,0.5172767375679496)
(18.48170601302558,1.286297765209737)
(18.28883977799711,2.0329568433920984)
(18.051920667230583,2.752880959497088)
(17.774661940456003,3.4421533866902956)
(17.46120825112666,4.097373289050355)
(17.116064259260558,4.715706374826665)
(16.744017251362354,5.294925725592314)
(16.350055111738822,5.833442099820429)
(15.939281070074001,6.330323192364213)
(15.516826705912427,6.785301523280477)
(15.087764720746279,7.198770827059574)
(14.65702299218162,7.571771013188261)
(14.229301402119066,7.905961967587492)
(13.808992882402128,8.203586658395123)
(13.400110047820007,8.467424195420854)
(13.00621868896561,8.700733667166022)
(12.630379277950453,8.907189739532578)
(12.275097500434285,9.090811143461918)
(11.94228467026765,9.255883302256771)
(11.633228711006604,9.406876451099208)
(11.34857620462294,9.548360679518279)
(11.088325815109084,9.684919380920126)
(10.851833196702302,9.821062620845614)
(10.637827296580106,9.961141936884905)
(10.444437763574069,10.109268058134665)
(10.269232981166958,10.269232981167029)
(10.109268058134608,10.444437763574165)
(9.961141936884847,10.63782729658025)
(9.821062620845584,10.851833196702449)
(9.684919380920102,11.08832581510926)
(9.548360679518252,11.348576204623148)
(9.406876451099178,11.633228711006842)
(9.255883302256711,11.942284670267956)
(9.090811143461861,12.275097500434583)
(8.907189739532507,12.630379277950832)
(8.700733667165919,13.006218688965964)
(8.467424195420694,13.400110047820426)
(8.203586658394958,13.808992882402523)
(7.905961967587292,14.229301402119475)
(7.5717710131880365,14.657022992182064)
(7.19877082705929,15.087764720746701)
(6.7853015232801015,15.516826705912898)
(6.330323192363842,15.939281070074422)
(5.833442099819955,16.350055111739305)
(5.294925725591855,16.744017251362745)
(4.715706374826095,17.116064259260966)
(4.097373289049811,17.461208251127005)
(3.4421533866897134,17.774661940456312)
(2.7528809594963723,18.05192066723091)
(2.0329568433914496,18.28883977799734)
(1.2862977652089769,18.481706013025786)
(0.5172767375672518,18.627301660160516)
(-0.26934447028637176,18.722960360459872)
(-1.0684896200613165,18.76661359559)
(-1.874847767356106,18.75682704867016)
(-2.6829571216510697,18.6928262060505)
(-3.4872915538391056,18.574510754284574)
(-4.282348255714035,18.40245752108881)
(-5.062735035782154,18.177911907979908)
(-5.823255742040686,17.90276796208977)
(-6.558992334879141,17.57953743190469)
(-7.265382191442878,17.211308342928458)
(-7.9382893056266655,16.801693811209432)
(-8.57406815392137,16.354771982128398)
(-9.169619124752042,15.875018135881504)
(-9.722434555528505,15.367230137021252)
(-10.230634584809806,14.83644852088904)
(-10.692992203945213,14.287872602764184)
(-11.108947080203851,13.726774064461694)
(-11.478607918490749,13.158409516731039)
(-11.802743327875337,12.587933553379608)
(-12.082761358862632,12.02031380427383)
(-12.32067807415499,11.460249459393843)
(-12.51907570615207,10.912094675561246)
(-12.681051135315181,10.379788192357315)
(-12.810155591628767,9.866790375600761)
(-12.910326633809209,9.376028777420904)
(-12.98581359498522,8.909853153708148)
(-13.041097796978402,8.470000715117646)
(-13.080808926072036,8.057572209705944)
(-13.109639029696236,7.673019246798307)
(-13.132255634619629,7.316143076081069)
(-13.153215502306834,6.986104836602387)
(-13.176880525816804,6.681447090799185)
(-13.207337235172602,6.400126262328727)
(-13.248321315184247,6.1395554067730895)
(-13.303148452342887,5.896656564510994)
(-13.374652717149159,5.667921778333262)
(-13.465133557005677,5.4494817076167905)
(-13.576312324876968,5.237180638688997)
(-13.709299102904977,5.026656579705157)
(-13.864570400951054,4.813425039865287)
(-14.041958120733455,4.592965028646685)
(-14.240649980131098,4.360805772047376)
(-14.459201392742967,4.112612630286686)
(-14.695558598392306,3.8442707152198894)
(-14.947092644414717,3.5519647456475063)
(-15.210643628675301,3.232253744045536)
(-15.482574436602235,2.882139267874848)
(-15.75883303921465,2.4991259809849082)
(-16.035022270029323,2.081273503761587)
(-16.306475868451002,1.6272386322583965)
(-16.568339468047217,1.1363071839684489)
(-16.815655121878557,0.6084149082240387)
(-17.04344789530312,0.04415708931769746)
(-17.246813020465606,-0.5552133329760789)
(-17.421002096656775,-1.187799101164367)
(-17.561506837051333,-1.8510832125425467)
(-17.664138904728723,-2.541964307560205)
(-17.725104448606505,-3.2568022670859715)
(-17.74107204179868,-3.991473234086171)
(-17.70923283935125,-4.741433111332021)
(-17.62735190731609,-5.501788439330108)
(-17.493809828355367,-6.267373430297767)
(-17.307633857858356,-7.032831826896898)
(-17.06851808596592,-7.792702170479739)
(-16.77683225178309,-8.541505004223273)
(-16.43361905309619,-9.273830502792753)
(-16.04057999467657,-9.98442501264233)
(-15.600050017270783,-10.668275005883586)
(-15.114961344191578,-11.320686995488376)
(-14.588797169647316,-11.937362029668572)
(-14.025535989321531,-12.514463477377111)
(-13.429587536182023,-13.048676933354034)
(-12.805721430222375,-13.537261207991259)
(-12.158989777301633,-13.9780895221115)
(-11.494645057233795,-14.369680196878232)
(-10.818054722980525,-14.711216311500095)
